origin,destination,weight,distance,carrier,season,weather_score,traffic_score,is_delayed,delay_days
Ahmedabad,Chennai,1002,800,DTDC,Monsoon,4,5,1,4
Chennai,Bangalore,2357,350,FedEx,Monsoon,3,6,0,0
Pune,Kolkata,1051,800,Delhivery,Monsoon,8,4,0,0
Kolkata,Hyderabad,21,800,DHL,Winter,9,1,0,0
Ahmedabad,Pune,3686,800,DHL,Winter,1,5,0,0
Lucknow,Chennai,4835,800,FedEx,Monsoon,2,3,0,0
Bangalore,Kolkata,3075,1900,DHL,Autumn,1,9,1,3
Ahmedabad,Lucknow,2046,800,Delhivery,Autumn,4,4,0,0
Pune,Hyderabad,3056,800,DTDC,Winter,10,10,1,5
Kolkata,Chennai,2360,1660,BlueDart,Summer,7,2,0,0
Chennai,Delhi,550,800,Delhivery,Monsoon,7,4,1,4
Pune,Hyderabad,2870,800,Delhivery,Monsoon,6,3,1,4
Pune,Delhi,86,800,BlueDart,Summer,5,3,1,2
Bangalore,Hyderabad,3077,800,BlueDart,Winter,4,5,1,2
Hyderabad,Ahmedabad,33,800,DTDC,Autumn,8,1,1,3
Kolkata,Chennai,685,1660,DTDC,Winter,7,5,1,4
Delhi,Chennai,2404,800,DTDC,Autumn,10,8,1,4
Pune,Ahmedabad,4277,800,DHL,Autumn,1,10,1,2
Hyderabad,Delhi,3408,800,Delhivery,Winter,6,9,1,4
Delhi,Ahmedabad,2769,800,BlueDart,Monsoon,2,1,1,2
Kolkata,Chennai,498,1660,Delhivery,Monsoon,4,2,0,0
Mumbai,Ahmedabad,1495,800,Delhivery,Monsoon,5,2,0,0
Lucknow,Chennai,3669,800,DTDC,Autumn,8,6,0,0
Hyderabad,Chennai,3245,800,DTDC,Monsoon,6,1,0,0
Jaipur,Chennai,2429,800,Delhivery,Autumn,2,1,0,0
Mumbai,Lucknow,3505,800,DTDC,Monsoon,5,2,0,0
Lucknow,Ahmedabad,766,800,DHL,Winter,5,4,0,0
Bangalore,Chennai,2534,350,BlueDart,Summer,6,2,0,0
Ahmedabad,Bangalore,4260,800,Delhivery,Autumn,1,4,0,0
Chennai,Ahmedabad,266,800,BlueDart,Winter,8,3,0,0
Jaipur,Hyderabad,1789,800,DHL,Autumn,3,3,0,0
Bangalore,Kolkata,4779,1900,DTDC,Autumn,5,9,0,0
Kolkata,Lucknow,2125,800,FedEx,Winter,7,8,1,3
Bangalore,Kolkata,3358,1900,DHL,Monsoon,3,10,0,0
Ahmedabad,Lucknow,4778,800,FedEx,Autumn,10,9,0,0
Kolkata,Chennai,1482,1660,BlueDart,Summer,6,1,0,0
Jaipur,Delhi,268,800,Delhivery,Summer,5,5,0,0
Ahmedabad,Delhi,4085,800,DTDC,Winter,7,4,1,3
Delhi,Hyderabad,316,800,DHL,Summer,10,9,1,4
Chennai,Kolkata,1128,1660,DTDC,Winter,3,3,1,3
Jaipur,Ahmedabad,3027,800,FedEx,Winter,2,5,0,0
Delhi,Hyderabad,4351,800,FedEx,Autumn,4,8,1,3
Lucknow,Hyderabad,2790,800,Delhivery,Winter,3,10,1,3
Jaipur,Chennai,1668,800,FedEx,Winter,4,5,1,2
Lucknow,Delhi,196,800,Delhivery,Monsoon,7,9,1,5
Kolkata,Lucknow,1807,800,DHL,Autumn,5,2,0,0
Delhi,Pune,934,800,Delhivery,Summer,4,6,1,3
Chennai,Kolkata,794,1660,FedEx,Monsoon,6,5,1,4
Ahmedabad,Bangalore,3454,800,BlueDart,Monsoon,7,9,1,5
Pune,Bangalore,3206,800,Delhivery,Autumn,5,7,1,3
Bangalore,Lucknow,1370,800,DTDC,Autumn,7,8,0,0
Mumbai,Hyderabad,350,800,BlueDart,Monsoon,3,7,0,0
Chennai,Bangalore,572,350,Delhivery,Autumn,7,10,1,4
Delhi,Hyderabad,4756,800,DTDC,Autumn,3,10,1,3
